NUMBER,AGE,WORKCLASS,EDUCATION_NUM,MARITAL_STATUS,OCCUPATION,SEX,HOURS_PER_WEEK,INCOME,CLUSTER
175,30,Private,9,Never,Machine-op-inspct,Male,40,<=50K,cluster0
176,25,Private,10,Never,Farming-fishing,Female,40,<=50K,cluster0
177,20,Private,8,Never,Machine-op-inspct,Male,30,<=50K,cluster0
178,20,Private,9,Never,Sales,Female,40,<=50K,cluster0
179,20,Private,10,Never,Machine-op-inspct,Male,30,<=50K,cluster0
180,25,Private,9,Never,Sales,Female,40,<=50K,cluster0
181,20,Private,10,Never,Other-service,Male,20,<=50K,cluster0
182,25,Private,9,Never,Machine-op-inspct,Male,40,<=50K,cluster0
183,25,Private,9,Never,Other-service,Male,30,<=50K,cluster0
184,20,Private,8,Never,Sales,Female,20,<=50K,cluster0
185,20,Private,9,Never,Transport-moving,Male,30,<=50K,cluster0
186,20,Private,10,Never,Sales,Male,40,<=50K,cluster0
187,20,Private,10,Never,Adm-clerical,Male,40,<=50K,cluster0
188,20,Private,8,Never,Farming-fishing,Male,20,<=50K,cluster0
189,25,Private,10,Never,Handlers-cleaners,Male,40,<=50K,cluster0
190,25,Private,9,Others,Adm-clerical,Male,40,<=50K,cluster0
191,20,Private,8,Never,Sales,Male,20,<=50K,cluster0
192,30,Private,9,Never,Craft-repair,Male,20,<=50K,cluster0
193,20,Private,8,Never,Adm-clerical,Female,20,<=50K,cluster0
194,25,Private,10,Never,Sales,Female,10,<=50K,cluster0
195,20,Private,8,Never,Handlers-cleaners,Male,40,<=50K,cluster0
196,20,Private,8,Never,Sales,Male,30,<=50K,cluster0
197,25,Private,10,Never,Transport-moving,Male,50,<=50K,cluster0
198,25,Private,9,Never,Handlers-cleaners,Female,10,<=50K,cluster0
199,20,Private,9,Never,Adm-clerical,Female,30,<=50K,cluster0
200,20,Private,9,Never,Handlers-cleaners,Female,40,<=50K,cluster0
201,35,Private,9,Never,Sales,Male,40,<=50K,cluster0
202,25,Private,9,Never,Sales,Male,30,<=50K,cluster0
203,25,Private,9,Never,Sales,Male,40,<=50K,cluster0
204,20,Private,10,Never,Other-service,Male,20,<=50K,cluster0
205,25,Private,10,Never,Sales,Male,20,<=50K,cluster0
206,25,Private,10,Never,Transport-moving,Male,40,<=50K,cluster0
207,20,Private,10,Never,Sales,Female,40,<=50K,cluster0
208,20,Private,10,Never,Exec-managerial,Female,10,<=50K,cluster0
209,25,Private,9,Married,Adm-clerical,Female,40,<=50K,cluster0
210,20,Private,9,Never,Other-service,Female,40,<=50K,cluster0
211,20,Private,9,Never,Other-service,Female,20,<=50K,cluster0
212,25,Private,10,Married,Prof-speciality,Male,40,<=50K,cluster0
213,20,Private,9,Never,Other-service,Female,20,<=50K,cluster0
214,25,Private,10,Never,Sales,Female,40,<=50K,cluster0
215,20,Private,10,Never,Exec-managerial,Female,40,<=50K,cluster0
216,25,Private,9,Never,Sales,Female,40,<=50K,cluster0
217,20,Private,10,Never,Other-service,Male,40,<=50K,cluster0
218,30,Private,9,Never,Other-service,Male,20,<=50K,cluster0
219,20,Govt,9,Never,Farming-fishing,Male,30,<=50K,cluster0
220,25,Private,9,Never,Machine-op-inspct,Female,40,<=50K,cluster0
221,25,Private,10,Never,Sales,Male,40,<=50K,cluster0
222,30,Private,9,Never,Other-service,Female,40,<=50K,cluster0
223,20,SelfEmployed,9,Never,Other-service,Male,40,<=50K,cluster0
224,35,Private,9,Never,Other-service,Male,70,<=50K,cluster0
225,25,Private,10,Never,Machine-op-inspct,Female,40,<=50K,cluster0
226,25,Private,10,Never,Tech-support,Female,40,<=50K,cluster0
227,25,Private,10,Married,Other-service,Male,40,<=50K,cluster0
228,20,Private,10,Never,Sales,Female,50,<=50K,cluster0
229,20,Private,8,Never,Adm-clerical,Male,10,<=50K,cluster0
230,20,SelfEmployed,10,Never,Craft-repair,Male,20,<=50K,cluster0
231,20,Private,10,Never,Adm-clerical,Male,40,<=50K,cluster0
232,20,Private,9,Never,Other-service,Female,40,<=50K,cluster0
233,30,Private,9,Never,Handlers-cleaners,Male,20,<=50K,cluster0
234,30,Private,10,Never,Machine-op-inspct,Female,40,<=50K,cluster0
235,30,Private,9,Never,Other-service,Female,40,<=50K,cluster0
236,20,Private,10,Never,Other-service,Female,20,<=50K,cluster0
237,20,Private,10,Never,Sales,Male,40,<=50K,cluster0
238,30,SelfEmployed,10,Never,Exec-managerial,Female,60,<=50K,cluster0
239,25,Private,9,Never,Other-service,Male,30,<=50K,cluster0
240,25,Private,10,Never,Other-service,Male,40,<=50K,cluster0
241,20,Private,9,Never,Handlers-cleaners,Male,30,<=50K,cluster0
242,20,SelfEmployed,10,Never,Prof-speciality,Female,10,<=50K,cluster0
243,25,Govt,8,Never,Other-service,Male,40,<=50K,cluster0
244,20,Private,10,Never,Other-service,Female,20,<=50K,cluster0
245,20,Private,9,Never,Machine-op-inspct,Female,40,<=50K,cluster0
246,20,Private,10,Never,Protective-serv,Male,30,<=50K,cluster0
247,20,Private,10,Never,Other-service,Male,20,<=50K,cluster0
248,30,Private,9,Never,Adm-clerical,Female,40,<=50K,cluster0
249,25,Private,10,Never,Sales,Female,30,<=50K,cluster0
250,35,Private,9,Never,Sales,Female,20,<=50K,cluster0
251,30,Private,9,Never,Other-service,Female,30,<=50K,cluster0
252,30,Private,9,Never,Handlers-cleaners,Female,40,<=50K,cluster0
253,20,SelfEmployed,10,Never,Craft-repair,Male,30,<=50K,cluster0
254,30,Private,9,Never,Sales,Female,40,<=50K,cluster0
255,25,Private,10,Married,Other-service,Male,40,<=50K,cluster0
256,25,Private,9,Never,Tech-support,Female,40,<=50K,cluster0
257,20,Private,10,Never,Other-service,Female,40,<=50K,cluster0
258,20,Private,10,Never,Farming-fishing,Male,10,<=50K,cluster0
259,20,Private,10,Never,Other-service,Male,60,<=50K,cluster0
260,30,Govt,10,Never,Protective-serv,Male,60,<=50K,cluster0
261,30,Private,9,Never,Other-service,Female,40,<=50K,cluster0
262,20,Private,10,Never,Other-service,Female,20,<=50K,cluster0
263,25,Private,9,Never,Machine-op-inspct,Female,40,<=50K,cluster0
264,20,Private,10,Never,Adm-clerical,Male,30,<=50K,cluster0
265,20,Private,8,Never,Other-service,Male,20,<=50K,cluster0
266,25,Private,9,Never,Sales,Female,20,<=50K,cluster0
267,30,Private,8,Never,Other-service,Female,40,<=50K,cluster0
268,25,Private,9,Never,Machine-op-inspct,Male,40,<=50K,cluster0
269,20,Private,10,Never,Machine-op-inspct,Female,40,<=50K,cluster0
270,25,Private,9,Never,Machine-op-inspct,Male,30,<=50K,cluster0
271,25,Private,9,Never,Sales,Male,40,<=50K,cluster0
272,20,Govt,8,Never,Sales,Female,30,<=50K,cluster0
273,25,Private,10,Never,Machine-op-inspct,Male,40,<=50K,cluster0
274,20,Private,9,Never,Other-service,Female,20,<=50K,cluster0
275,20,Private,8,Never,Handlers-cleaners,Male,40,<=50K,cluster0
276,25,Private,10,Others,Adm-clerical,Male,40,<=50K,cluster0
277,20,Private,10,Never,Handlers-cleaners,Male,50,<=50K,cluster0
278,35,Private,9,Never,Sales,Male,40,<=50K,cluster0
279,20,Private,10,Never,Transport-moving,Male,40,<=50K,cluster0
280,20,Private,8,Never,Other-service,Male,10,<=50K,cluster0
281,20,Govt,9,Never,Adm-clerical,Female,40,<=50K,cluster0
282,30,Govt,10,Married,Adm-clerical,Male,20,<=50K,cluster0
283,30,Private,9,Never,Other-service,Male,50,<=50K,cluster0
284,20,Private,10,Never,Tech-support,Male,50,<=50K,cluster0
285,20,Private,9,Never,Machine-op-inspct,Male,40,<=50K,cluster0
286,20,Private,10,Never,Handlers-cleaners,Female,10,<=50K,cluster0
287,20,Govt,8,Never,Farming-fishing,Male,30,<=50K,cluster0
288,20,Private,10,Never,Transport-moving,Male,40,<=50K,cluster0
289,20,Private,10,Never,Handlers-cleaners,Female,40,<=50K,cluster0
290,20,Private,8,Never,Adm-clerical,Female,20,<=50K,cluster0
291,25,Private,9,Never,Craft-repair,Male,20,<=50K,cluster0
292,30,Private,9,Never,Adm-clerical,Male,40,<=50K,cluster0
293,25,Private,9,Never,Other-service,Female,20,<=50K,cluster0
294,25,Private,9,Never,Handlers-cleaners,Male,40,<=50K,cluster0
295,20,Private,10,Never,Adm-clerical,Male,40,<=50K,cluster0
296,20,Private,10,Never,Other-service,Male,40,<=50K,cluster0
297,20,Private,10,Never,Adm-clerical,Female,10,<=50K,cluster0
298,25,Private,10,Others,Prof-speciality,Male,40,<=50K,cluster0
299,20,Govt,8,Never,Other-service,Male,10,<=50K,cluster0
300,20,Private,10,Never,Farming-fishing,Female,40,<=50K,cluster0
301,20,Private,10,Never,Handlers-cleaners,Male,10,<=50K,cluster0
302,20,Private,8,Married,Machine-op-inspct,Female,40,<=50K,cluster0
303,20,Private,8,Never,Sales,Male,30,<=50K,cluster0
304,25,Private,8,Never,Machine-op-inspct,Female,40,<=50K,cluster0
305,25,Private,9,Never,Adm-clerical,Female,40,<=50K,cluster0
306,20,Private,8,Never,Handlers-cleaners,Male,20,<=50K,cluster0
307,25,Private,10,Never,Adm-clerical,Female,40,<=50K,cluster0
308,25,Private,9,Never,Transport-moving,Male,60,<=50K,cluster0
309,20,Private,10,Never,Other-service,Female,10,<=50K,cluster0
310,20,Private,8,Never,Handlers-cleaners,Male,10,<=50K,cluster0
311,20,Private,10,Never,Prof-speciality,Male,20,<=50K,cluster0
312,25,Private,10,Never,Other-service,Male,30,<=50K,cluster0
313,20,Private,10,Never,Handlers-cleaners,Male,40,<=50K,cluster0
314,25,Govt,10,Never,Tech-support,Male,50,<=50K,cluster0
315,20,Private,9,Never,Exec-managerial,Female,20,<=50K,cluster0
316,20,Private,10,Never,Farming-fishing,Male,50,<=50K,cluster0
317,20,Private,8,Never,Machine-op-inspct,Male,60,<=50K,cluster0
318,20,Govt,10,Never,Prof-speciality,Female,20,<=50K,cluster0
319,25,Private,10,Married,Exec-managerial,Female,30,<=50K,cluster0
320,30,Private,8,Never,Craft-repair,Male,40,<=50K,cluster0
321,35,Private,9,Never,Other-service,Female,40,<=50K,cluster0
322,30,Private,9,Never,Other-service,Female,30,<=50K,cluster0
323,30,Private,9,Never,Sales,Female,50,<=50K,cluster0
324,20,Private,10,Never,Handlers-cleaners,Male,20,<=50K,cluster0
325,25,SelfEmployed,9,Never,Sales,Male,40,<=50K,cluster0
326,25,Private,9,Others,Transport-moving,Female,40,<=50K,cluster0
327,20,Private,10,Never,Sales,Male,20,<=50K,cluster0
328,20,Private,10,Never,Sales,Male,20,<=50K,cluster0
329,25,Private,10,Never,Craft-repair,Male,40,<=50K,cluster0
330,20,SelfEmployed,9,Never,Transport-moving,Male,70,<=50K,cluster0
331,25,Private,9,Never,Other-service,Female,40,<=50K,cluster0
332,20,Private,8,Never,Adm-clerical,Female,20,<=50K,cluster0
333,20,Private,9,Never,Sales,Male,50,<=50K,cluster0
334,20,Private,10,Never,Other-service,Female,10,<=50K,cluster0
335,20,Private,10,Others,Sales,Female,30,<=50K,cluster0
336,20,Private,9,Never,Other-service,Female,30,<=50K,cluster0
337,25,Private,9,Never,Sales,Male,40,<=50K,cluster0
338,20,Private,9,Never,Other-service,Female,20,<=50K,cluster0
339,20,Private,9,Never,Adm-clerical,Female,40,<=50K,cluster0
340,25,Private,9,Never,Other-service,Female,30,<=50K,cluster0
341,20,Private,10,Never,Other-service,Female,10,<=50K,cluster0
342,30,Private,8,Never,Machine-op-inspct,Male,40,<=50K,cluster0
343,25,Private,9,Never,Handlers-cleaners,Male,40,<=50K,cluster0
344,20,Private,8,Never,Transport-moving,Female,20,<=50K,cluster0
345,20,Private,8,Never,Sales,Male,30,<=50K,cluster0
346,30,Private,8,Never,Other-service,Male,40,<=50K,cluster0
347,20,Private,9,Never,Handlers-cleaners,Male,40,<=50K,cluster0
348,20,Private,10,Never,Sales,Male,40,<=50K,cluster0
349,20,Private,10,Never,Other-service,Male,40,<=50K,cluster0
350,20,Private,10,Never,Sales,Female,30,<=50K,cluster0
351,20,Govt,10,Never,Other-service,Male,10,<=50K,cluster0
352,25,Private,9,Never,Adm-clerical,Female,40,<=50K,cluster0
353,25,Private,10,Never,Craft-repair,Male,40,<=50K,cluster0
354,20,Private,10,Never,Sales,Female,40,<=50K,cluster0
355,20,Private,10,Never,Other-service,Female,40,<=50K,cluster0
356,20,Private,9,Married,Handlers-cleaners,Male,40,<=50K,cluster0
357,25,Private,8,Never,Handlers-cleaners,Male,40,<=50K,cluster0
358,20,Private,9,Never,Other-service,Female,10,<=50K,cluster0
359,25,Private,9,Never,Other-service,Male,20,<=50K,cluster0
360,25,Private,9,Others,Sales,Male,40,<=50K,cluster0
361,25,Private,9,Never,Craft-repair,Male,40,<=50K,cluster0
362,25,Private,10,Never,Other-service,Male,20,<=50K,cluster0
363,30,Private,9,Never,Adm-clerical,Male,40,<=50K,cluster0
364,20,Private,10,Never,Other-service,Male,10,<=50K,cluster0
365,25,Private,9,Never,Other-service,Male,40,<=50K,cluster0
366,25,Govt,10,Never,Exec-managerial,Male,40,<=50K,cluster0
367,20,Private,9,Never,Other-service,Female,40,<=50K,cluster0
368,20,SelfEmployed,9,Never,Other-service,Male,40,<=50K,cluster0
369,25,Private,10,Married,Exec-managerial,Female,10,<=50K,cluster0
370,25,Private,9,Others,Other-service,Male,40,<=50K,cluster0
371,25,Private,8,Never,Transport-moving,Male,40,<=50K,cluster0
372,30,Private,10,Never,Other-service,Male,40,<=50K,cluster0
373,30,Private,9,Never,Transport-moving,Male,50,<=50K,cluster0
374,25,Private,9,Never,Adm-clerical,Female,40,<=50K,cluster0
375,20,Govt,10,Never,Other-service,Female,40,<=50K,cluster0
376,20,Private,9,Never,Craft-repair,Male,40,<=50K,cluster0
377,25,Private,9,Married,Sales,Male,40,<=50K,cluster0
378,25,Govt,9,Never,Adm-clerical,Female,40,<=50K,cluster0
379,20,Govt,8,Never,Adm-clerical,Female,20,<=50K,cluster0
380,30,Private,9,Never,Adm-clerical,Male,40,<=50K,cluster0
381,20,Private,10,Never,Sales,Male,30,<=50K,cluster0
382,30,Private,9,Never,Adm-clerical,Female,40,<=50K,cluster0
383,30,Private,9,Never,Machine-op-inspct,Male,50,<=50K,cluster0
384,30,Private,10,Never,Sales,Female,30,<=50K,cluster0
385,20,Private,9,Never,Handlers-cleaners,Female,40,<=50K,cluster0
386,25,Private,9,Never,Handlers-cleaners,Male,40,<=50K,cluster0
387,30,Private,10,Never,Sales,Female,40,<=50K,cluster0
388,25,Private,9,Never,Farming-fishing,Male,30,<=50K,cluster0
389,30,Private,9,Never,Craft-repair,Male,70,<=50K,cluster0
390,25,Private,10,Never,Other-service,Female,20,<=50K,cluster0
391,30,Private,10,Never,Other-service,Female,40,<=50K,cluster0
392,25,Private,8,Never,Craft-repair,Male,40,<=50K,cluster0
393,35,Private,9,Never,Handlers-cleaners,Male,40,<=50K,cluster0
394,20,Private,10,Never,Exec-managerial,Female,40,<=50K,cluster0
395,20,SelfEmployed,8,Never,Adm-clerical,Male,10,<=50K,cluster0
396,25,Private,9,Never,Farming-fishing,Male,30,<=50K,cluster0
397,20,Private,10,Never,Adm-clerical,Female,20,<=50K,cluster0
398,20,Private,8,Never,Other-service,Male,20,<=50K,cluster0
399,25,Private,10,Never,Sales,Male,50,<=50K,cluster0
400,20,Private,9,Never,Sales,Female,40,<=50K,cluster0
401,20,Private,9,Never,Handlers-cleaners,Male,30,<=50K,cluster0
402,20,Private,8,Never,Adm-clerical,Female,40,<=50K,cluster0
403,20,Private,10,Never,Other-service,Male,30,<=50K,cluster0
404,30,Private,9,Never,Handlers-cleaners,Female,40,<=50K,cluster0
405,25,Govt,9,Never,Adm-clerical,Male,40,<=50K,cluster0
406,25,SelfEmployed,10,Never,Machine-op-inspct,Male,40,<=50K,cluster0
